userProfile;evalProfile;alpha;hellinger
Explorative;Slice and Drill;0.1;0.02050319978560789
Explorative;Slice and Drill;0.2;0.03558861185595865
Explorative;Slice and Drill;0.3;0.05498786055560971
Explorative;Slice and Drill;0.4;0.07578756737175879
Explorative;Slice and Drill;0.5;0.10021520641909679
Explorative;Slice and Drill;0.6;0.11879142990027333
Explorative;Slice and Drill;0.7;0.14456164627021373
Explorative;Slice and Drill;0.8;0.17028503749145854
Explorative;Slice and Drill;0.9;0.19921656252765557
Explorative;Goal Oriented;0.1;0.020487596232035745
Explorative;Goal Oriented;0.2;0.03762524504059223
Explorative;Goal Oriented;0.3;0.0563716522276997
Explorative;Goal Oriented;0.4;0.07438342930855016
Explorative;Goal Oriented;0.5;0.10122430733956887
Explorative;Goal Oriented;0.6;0.1214959194122325
Explorative;Goal Oriented;0.7;0.14258982703605583
Explorative;Goal Oriented;0.8;0.1768422336460713
Explorative;Goal Oriented;0.9;0.19442950240036397
Explorative;Slice All;0.1;0.020534175085085364
Explorative;Slice All;0.2;0.04067686916777729
Explorative;Slice All;0.3;0.056981459173735635
Explorative;Slice All;0.4;0.07705568174975456
Explorative;Slice All;0.5;0.08955411894141764
Explorative;Slice All;0.6;0.1190109833708787
Explorative;Slice All;0.7;0.13906577098137804
Explorative;Slice All;0.8;0.1640811583679126
Explorative;Slice All;0.9;0.20271277005217977
Slice and Drill;Explorative;0.1;0.021498010290256744
Slice and Drill;Explorative;0.2;0.0372808288970953
Slice and Drill;Explorative;0.3;0.06164513967036765
Slice and Drill;Explorative;0.4;0.07376328057956086
Slice and Drill;Explorative;0.5;0.10336725331539315
Slice and Drill;Explorative;0.6;0.1302547194190846
Slice and Drill;Explorative;0.7;0.15645485471726037
Slice and Drill;Explorative;0.8;0.18026301938518524
Slice and Drill;Explorative;0.9;0.22950333001443254
Slice and Drill;Slice and Drill;0.1;0.02038704175402285
Slice and Drill;Slice and Drill;0.2;0.036852097983152324
Slice and Drill;Slice and Drill;0.3;0.05826603189607492
Slice and Drill;Slice and Drill;0.4;0.08173583639579828
Slice and Drill;Slice and Drill;0.5;0.10447663212518478
Slice and Drill;Slice and Drill;0.6;0.13089109468475058
Slice and Drill;Slice and Drill;0.7;0.15067518362397658
Slice and Drill;Slice and Drill;0.8;0.17449456989031747
Slice and Drill;Slice and Drill;0.9;0.21355007350348296
Slice and Drill;Goal Oriented;0.1;0.021520836759992442
Slice and Drill;Goal Oriented;0.2;0.039741878212055555
Slice and Drill;Goal Oriented;0.3;0.05965370634658398
Slice and Drill;Goal Oriented;0.4;0.07889617140395254
Slice and Drill;Goal Oriented;0.5;0.101448212472283
Slice and Drill;Goal Oriented;0.6;0.12400398353670666
Slice and Drill;Goal Oriented;0.7;0.15125559841153222
Slice and Drill;Goal Oriented;0.8;0.18122782396787238
Slice and Drill;Goal Oriented;0.9;0.22984061016964097
Slice and Drill;Slice All;0.1;0.02172802013055987
Slice and Drill;Slice All;0.2;0.038922843773299416
Slice and Drill;Slice All;0.3;0.0606949600441138
Slice and Drill;Slice All;0.4;0.07449774209842383
Slice and Drill;Slice All;0.5;0.10586442247952724
Slice and Drill;Slice All;0.6;0.12548753153086586
Slice and Drill;Slice All;0.7;0.1498756895178613
Slice and Drill;Slice All;0.8;0.19121521514552917
Slice and Drill;Slice All;0.9;0.2275072974158051
Goal Oriented;Explorative;0.1;0.01734722532986592
Goal Oriented;Explorative;0.2;0.02450805260011876
Goal Oriented;Explorative;0.3;0.03986027397787872
Goal Oriented;Explorative;0.4;0.05468326528142148
Goal Oriented;Explorative;0.5;0.06804489627236797
Goal Oriented;Explorative;0.6;0.09820400095500544
Goal Oriented;Explorative;0.7;0.10885088494473642
Goal Oriented;Explorative;0.8;0.13254005852260292
Goal Oriented;Explorative;0.9;0.1713353264196379
Goal Oriented;Slice and Drill;0.1;0.017477779144395463
Goal Oriented;Slice and Drill;0.2;0.027991534410570694
Goal Oriented;Slice and Drill;0.3;0.04597744913150365
Goal Oriented;Slice and Drill;0.4;0.05162663358179772
Goal Oriented;Slice and Drill;0.5;0.07644796107271992
Goal Oriented;Slice and Drill;0.6;0.08618661735553358
Goal Oriented;Slice and Drill;0.7;0.11530896224836369
Goal Oriented;Slice and Drill;0.8;0.14653421361093272
Goal Oriented;Slice and Drill;0.9;0.16433512474032713
Goal Oriented;Goal Oriented;0.1;0.017182283638218537
Goal Oriented;Goal Oriented;0.2;0.02675430050164324
Goal Oriented;Goal Oriented;0.3;0.041210063679932546
Goal Oriented;Goal Oriented;0.4;0.05174709454319792
Goal Oriented;Goal Oriented;0.5;0.0804192057268104
Goal Oriented;Goal Oriented;0.6;0.08962225985874762
Goal Oriented;Goal Oriented;0.7;0.11435784485473047
Goal Oriented;Goal Oriented;0.8;0.13922505445861286
Goal Oriented;Goal Oriented;0.9;0.18043799202677824
Goal Oriented;Slice All;0.1;0.017465042893611078
Goal Oriented;Slice All;0.2;0.027140568465711487
Goal Oriented;Slice All;0.3;0.04128441862323986
Goal Oriented;Slice All;0.4;0.05628169504790926
Goal Oriented;Slice All;0.5;0.06953495068626606
Goal Oriented;Slice All;0.6;0.09424621168230206
Goal Oriented;Slice All;0.7;0.11031046191880506
Goal Oriented;Slice All;0.8;0.1343274536843893
Goal Oriented;Slice All;0.9;0.1752367653558822
Slice All;Explorative;0.1;0.05354661219228724
Slice All;Explorative;0.2;0.10142582195901158
Slice All;Explorative;0.3;0.146281385203428
Slice All;Explorative;0.4;0.17028747147196005
Slice All;Explorative;0.5;0.18583114490908073
Slice All;Explorative;0.6;0.23330200439729515
Slice All;Explorative;0.7;0.27136033464811715
Slice All;Explorative;0.8;0.32242364398943035
Slice All;Explorative;0.9;0.40432453798070944
Slice All;Slice and Drill;0.1;0.0481860019453912
Slice All;Slice and Drill;0.2;0.10959482950451434
Slice All;Slice and Drill;0.3;0.148975959669275
Slice All;Slice and Drill;0.4;0.15231035490565373
Slice All;Slice and Drill;0.5;0.20859779773002868
Slice All;Slice and Drill;0.6;0.24400970628942736
Slice All;Slice and Drill;0.7;0.28714481410420484
Slice All;Slice and Drill;0.8;0.33359011432760366
Slice All;Slice and Drill;0.9;0.38492636665987345
Slice All;Goal Oriented;0.1;0.047021995551573395
Slice All;Goal Oriented;0.2;0.10488991358497048
Slice All;Goal Oriented;0.3;0.1616371890633114
Slice All;Goal Oriented;0.4;0.18963390753624892
Slice All;Goal Oriented;0.5;0.2236618821779439
Slice All;Goal Oriented;0.6;0.2657489453842252
Slice All;Goal Oriented;0.7;0.25795795292301665
Slice All;Goal Oriented;0.8;0.3171206432160927
Slice All;Goal Oriented;0.9;0.37628849649811125
Slice All;Slice All;0.1;0.05522471003917274
Slice All;Slice All;0.2;0.11880606539341874
Slice All;Slice All;0.3;0.1076229997336443
Slice All;Slice All;0.4;0.1884507612048511
Slice All;Slice All;0.5;0.21951090228837872
Slice All;Slice All;0.6;0.2092471120781875
Slice All;Slice All;0.7;0.27183200002980257
Slice All;Slice All;0.8;0.3462579818502805
Slice All;Slice All;0.9;0.3758361343730438
Explorative;Explorative;0.1;0.020916279730774145
Explorative;Explorative;0.2;0.036860155933752005
Explorative;Explorative;0.3;0.05548379198532527
Explorative;Explorative;0.4;0.07452987907041339
Explorative;Explorative;0.5;0.09538499845564216
Explorative;Explorative;0.6;0.11470727383902217
Explorative;Explorative;0.7;0.14456164627021373
Explorative;Explorative;0.8;0.17214837073754943
Explorative;Explorative;0.9;0.2150371196860686
Explorative;Slice and Drill;0.1;0.019877101765533478
Explorative;Slice and Drill;0.2;0.034768605405508725
Explorative;Slice and Drill;0.3;0.05767689271087751
Explorative;Slice and Drill;0.4;0.07800793710829758
Explorative;Slice and Drill;0.5;0.09492944370680004
Explorative;Slice and Drill;0.6;0.1214959194122325
Explorative;Slice and Drill;0.7;0.1335663026737068
Explorative;Slice and Drill;0.8;0.18020011521378274
Explorative;Slice and Drill;0.9;0.20527571991012725
Explorative;Goal Oriented;0.1;0.019706198928999837
Explorative;Goal Oriented;0.2;0.03499871402748805
Explorative;Goal Oriented;0.3;0.053956021410366
Explorative;Goal Oriented;0.4;0.07700023230218242
Explorative;Goal Oriented;0.5;0.09991951466665648
Explorative;Goal Oriented;0.6;0.12272453165646145
Explorative;Goal Oriented;0.7;0.14669882866450415
Explorative;Goal Oriented;0.8;0.18020011521378274
Explorative;Goal Oriented;0.9;0.20271277005217977
Explorative;Slice All;0.1;0.01981474286898358
Explorative;Slice All;0.2;0.03864955833919871
Explorative;Slice All;0.3;0.057600111689602794
Explorative;Slice All;0.4;0.0710985724242399
Explorative;Slice All;0.5;0.08836757978871469
Explorative;Slice All;0.6;0.12345782360027824
Explorative;Slice All;0.7;0.14404985708874596
Explorative;Slice All;0.8;0.16933392009782533
Explorative;Slice All;0.9;0.2110963893503
Slice and Drill;Explorative;0.1;0.020375456639038416
Slice and Drill;Explorative;0.2;0.0396788713077098
Slice and Drill;Explorative;0.3;0.05692069922325112
Slice and Drill;Explorative;0.4;0.08041147704846471
Slice and Drill;Explorative;0.5;0.09772547617372487
Slice and Drill;Explorative;0.6;0.11721841468343762
Slice and Drill;Explorative;0.7;0.14580475703033044
Slice and Drill;Explorative;0.8;0.18247671938294718
Slice and Drill;Explorative;0.9;0.21599201975935567
Slice and Drill;Slice and Drill;0.1;0.021464062320870236
Slice and Drill;Slice and Drill;0.2;0.03795223346222991
Slice and Drill;Slice and Drill;0.3;0.05963005142785724
Slice and Drill;Slice and Drill;0.4;0.07740014267427804
Slice and Drill;Slice and Drill;0.5;0.10056619483678339
Slice and Drill;Slice and Drill;0.6;0.12139540971524615
Slice and Drill;Slice and Drill;0.7;0.15125559841153222
Slice and Drill;Slice and Drill;0.8;0.18695714011389777
Slice and Drill;Slice and Drill;0.9;0.20997688476015364
Slice and Drill;Goal Oriented;0.1;0.02107290268819669
