querry_id,total_operators,distinct_operators,ascii_len,part_number
38102,16,7,499,23
38344,30,8,422,20
133862,30,8,576,34
108021,28,7,283,24
63701,72,7,207,24
57260,24,10,944,30
8172,36,7,336,24
29869,30,7,237,24
27682,20,6,414,26
176108,32,6,752,26
85731,16,6,270,25
27442,8,4,196,24
123894,30,8,413,21
27684,42,7,381,24
60430,44,8,562,25
30625,32,7,417,24
100531,22,6,428,24
3710,54,7,1739,35
175494,20,5,743,27
273409,48,6,669,24
52817,82,7,403,20
180622,58,8,1172,29
70485,12,6,222,24
17890,36,7,413,25
100792,262,8,279,24
27459,10,5,237,25
7095,16,6,224,24
40417,16,6,336,26
135817,36,9,459,26
40658,16,6,336,26
63949,36,8,373,25
58129,88,9,327,24
1305,12,5,197,24
82458,16,5,283,24
5906,28,5,354,24
123645,98,8,528,21
85965,12,5,196,24
60685,20,5,398,25
271695,12,5,317,24
24188,12,5,317,24
100782,540,8,373,24
30615,42,7,474,26
271456,16,5,225,25
38578,28,6,2140,25
178512,56,6,1093,28
31700,20,6,269,24
175242,70,7,489,25
118065,60,7,977,28
80030,20,6,281,24
126916,84,6,5231,32
73528,16,7,570,29
71589,20,7,230,24
40641,20,8,398,26
49214,40,10,947,29
27426,10,5,180,24
29603,16,5,416,25
24157,12,5,317,24
28997,64,6,574,24
107395,56,9,2270,39
59461,24,6,481,26
43911,50,9,387,25
29847,12,5,246,24
122787,66,9,361,19
122305,44,7,378,19
4829,90,9,2713,28
124963,128,9,5234,32
120363,60,8,987,28
85996,14,5,218,24
177698,56,8,496,24
45093,26,8,470,20
101844,36,9,350,24
134743,16,6,388,26
74627,32,8,615,27
128088,92,6,5130,30
131473,42,9,645,20
133652,10,5,180,24
39642,16,5,420,26
28765,32,7,602,25
73770,16,7,648,30
134505,16,7,287,25
29618,26,6,290,25
92030,36,7,728,27
63979,40,9,400,25
100768,540,8,373,24
86838,60,9,948,26
83326,20,6,396,26
271671,12,5,1145,39
1322,12,5,254,25
119379,22,7,484,27
2652,54,7,1641,34
60223,100,9,511,25
175267,80,8,767,26
85983,12,5,234,24
177445,68,6,826,26
38315,34,6,5944,35
68181,50,7,282,24
51517,54,7,359,20
19814,14,6,251,24
69033,16,7,298,24
135568,36,9,459,26
68999,16,7,463,25
41277,14,5,270,24
64159,52,9,445,25
133389,32,7,443,33
101793,18,9,269,24
1580,38,7,483,26
74196,12,5,225,24
107096,20,5,251,24
76387,24,9,368,25
120066,56,8,833,28
271266,12,5,239,24
134484,16,6,227,24
5932,36,6,414,24
100698,18,6,340,24
102879,10,4,274,25
42598,50,9,387,25
42357,36,8,370,25
123573,66,8,343,20
75057,44,8,1028,30
42119,38,8,370,25
22524,52,8,1437,34
75051,12,5,221,24
33882,50,6,351,19
272100,16,6,388,24
1344,40,8,461,25
922,14,5,210,24
70835,32,8,313,24
40171,16,5,420,26
66340,50,8,334,24
41494,14,5,483,26
65021,58,9,746,28
41250,34,9,272,24
132077,52,8,639,20
180113,58,8,1172,29
134256,48,7,313,24
41019,16,4,344,25
1120,24,6,270,24
265807,54,7,810,26
55461,12,5,241,31
75066,12,5,199,24
55464,38,9,1174,30
28038,24,6,356,25
120286,8,3,1072,28
79677,28,7,239,24
36908,28,8,1908,30
135111,40,7,549,26
28030,52,6,395,24
70606,14,5,253,24
5957,36,6,414,24
68302,50,7,282,24
40395,16,6,336,26
18005,38,7,511,26
134027,40,8,577,34
123550,30,7,257,20
17391,10,5,209,24
122220,44,7,378,19
60818,36,8,430,25
38072,16,7,499,23
130901,78,8,706,21
82833,20,8,564,27
30114,64,7,749,25
2457,264,7,12193,35
124635,128,9,5258,32
54149,8,3,582,33
29379,20,6,408,26
271236,16,5,221,25
271478,12,5,239,24
31205,18,9,245,24
127907,220,7,4797,30
31449,6,3,279,24
66360,6,3,206,24
64196,52,9,560,26
70874,40,8,313,24
180333,68,6,1403,29
44743,116,10,404,25
22717,128,9,794,27
135520,16,6,388,26
132017,44,8,434,19
91337,32,8,431,25
5981,18,6,334,24
66378,16,5,273,24
128830,22,6,579,34
129920,34,8,718,36
19783,34,9,237,24
1142,14,5,210,24
124472,340,8,2428,32
266716,208,8,635,27
75087,14,5,225,24
83949,50,9,531,25
29101,32,6,577,26
54398,8,3,722,34
124229,68,8,1660,27
29584,30,6,352,25
30342,396,9,1113,28
30580,46,9,592,27
29345,16,6,358,26
103764,14,6,5109,45
100499,22,6,411,24
64192,24,10,944,30
