;qid;NoC;AggDepth;IterDistance;CpQ;IsRelax;FilterDepth;NoAgg;IterCommonMeasures;NoQ;IterCommonFilters;NoF;NoM;IVA;QF;IterRecall;ElapsedTime;ExecTime;RNI;CD;IterPrecision;IterCommonAgg;RQP;ConsTime;IterIdentity;IsRefine;salimLabel
595;dibstudent14--2016-09-27--17-25.log-8;0;0;0;0;0.0;0.0142857142857143;0;1;9;1;1;1;0;0.0454439877604193;0;198.046;0.015;0;0;0;0;0.257142857142857;5.875;1;0;1
596;dibstudent14--2016-09-27--17-25.log-9;17;0.0142857142857143;2;10;0.0;0;1;1;10;0;0;1;0;0.0490347509279827;0;203.937;0.016;0.0206631927659464;0;0;0;0.285714285714286;33.078;0;0;1
597;dibstudent16--2016-10-04--22-55.log-10;68;0.0571428571428571;0;4;0.0;0;2;2;11;0;0;2;0;0.025560946591564;1;430.344;0.078;0.139328928545121;7;1;2;0.224489795918367;28.39;1;0;1
598;dibstudent16--2016-10-04--22-55.log-11;68;0.0571428571428571;0;4;0.0;0;2;2;12;0;0;2;0;0.0261509125578861;1;458.875;0.141;0.139328928545121;6;1;2;0.244897959183673;2.281;1;0;1
599;dibstudent16--2016-10-04--22-55.log-12;68;0.0571428571428571;0;4;0.0;0;2;2;13;0;0;2;0;0.0281795165262026;1;461.328;0.172;0.139328928545121;5;1;2;0.26530612244898;92.875;1;0;1
600;dibstudent16--2016-10-04--22-55.log-13;4;0.0571428571428571;1;5;0.0;0.0428571428571429;2;2;14;0;1;2;0;0.0252593594948128;0.0588235294117647;554.25;0.047;0.421823048888253;4;1;2;0.285714285714286;65.563;0;1;1
601;dibstudent16--2016-10-04--22-55.log-14;4;0.0571428571428571;0;5;0.0;0.0428571428571429;2;2;15;1;1;2;0;0.0241984271022384;1;619.875;0.062;0.421823048888253;3;1;2;0.306122448979592;19.391;1;0;1
602;dibstudent16--2016-10-04--22-55.log-15;4;0.0571428571428571;0;5;0.0;0.0428571428571429;2;2;16;1;1;2;0;0.025026277591471;1;639.328;0.062;0.421823048888253;2;1;2;0.326530612244898;8.188;1;0;1
603;dibstudent16--2016-10-04--22-55.log-17;68;0.0571428571428571;0;1;0.0;0;2;2;18;0;0;2;0;0.02581281692403;1;697.328;0.078;0.139328928545121;0;1;2;0.36734693877551;35.594;1;0;1
604;dibstudent16--2016-10-04--22-55.log-18;4;0.0142857142857143;3;0;1.0;0;1;2;19;0;0;2;0;0.0259208731241473;0;733;0.078;0.417514429963863;1;0;1;0.387755102040816;8.203;0;0;1
605;dibstudent16--2016-10-04--22-55.log-19;4;0.0142857142857143;0;0;0.0;0;1;2;20;0;0;2;0;0.0269814502529511;1;741.25;0.047;0.417514429963863;0;1;1;0.408163265306122;7.797;1;0;1
