qid;Metric - Aggregation Depth;Metric - Click Depth;Metric - Click Per Query.;Metric - Consideration time;Metric - Elapsed time;Metric - Execution time;Metric - Filter Depth;Metric - Increase in View Area;Metric - Is Refine;Metric - Is Relax;Metric - Iterative Common Aggregations;Metric - Iterative Common Filters;Metric - Iterative Common Measures;Metric - Iterative Distance;Metric - Iterative Identity;Metric - Iterative Precision;Metric - Iterative Recall;Metric - Number of aggregations;Metric - Number of Filters;Metric - Number of measures;Metric - Query frequency;Metric - Relative Query Position (RQP)...;Metric - Relevant New Information;Metric Number of queries...;Nb of cells;label
dibstudent16--2016-10-06--22-03.log-163;0.0571428571428571;1;0;42.812;6932.27;0.047;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.0236574743915052;0.993939393939394;0.506344291907431;164;18;1
dibstudent16--2016-10-06--22-03.log-164;0.0571428571428571;0;0;0;6975.457;0.375;0.128571428571429;0;0;0.0;3;6;1;0;1;1;1;3;6;1;0.023654364151338;1;0.506344291907431;165;18;1
dibstudent16--2016-10-06--22-03.log-17;0.0285714285714286;1;2;2.547;1276.168;0.015;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.014104726023533;0.109090909090909;0.341865390254818;18;18;1
dibstudent16--2016-10-06--22-03.log-19;0.0571428571428571;2;1;17.343;1283.575;0.047;0;0.000198093896506944;1;0.0;1;0;3;3;0;0;0;2;0;3;0.015581481409345;0.121212121212121;0.341865390254818;20;18;1
dibstudent16--2016-10-06--22-03.log-2;0.0142857142857143;3;6;18.375;60.172;0.031;0;0;0;0.0;1;0;2;1;0;0.666666666666667;1;1;0;3;0.049857076381041;0.0181818181818182;0.341865390254818;3;18;1
dibstudent16--2016-10-06--22-03.log-20;0.0428571428571429;1;1;25;1301.012;0.094;0;2.20099484967205e-05;0;1.0;1;0;3;1;0;0;0;1;0;3;0.0161412807875715;0.127272727272727;0.896962601658706;21;3;0
dibstudent16--2016-10-06--22-03.log-22;0.0142857142857143;0;0;21.765;1328.997;0.016;0;0;0;1.0;1;0;3;3;0;0;0;1;0;3;0.0173062843633206;0.139393939393939;0.341865390254818;23;18;0
dibstudent16--2016-10-06--22-03.log-24;0.0428571428571429;3;1;22.766;1399.793;0.031;0;0.00032975729862821;0;0.0;2;0;3;1;0;0.722222222222222;1;2;0;4;0.0178597835537112;0.151515151515152;0.439725013710382;25;108;1
dibstudent16--2016-10-06--22-03.log-26;0.0428571428571429;1;1;3.844;1434.043;0.015;0;0;0;0.0;2;0;2;1;0;1;0.615384615384615;2;0;2;0.0188278873088185;0.163636363636364;0.227564230231277;27;48;0
dibstudent16--2016-10-06--22-03.log-27;0.0428571428571429;0;0;7.687;1437.903;0.016;0;0;0;0.0;2;0;1;1;0;1;0.625;2;0;1;0.0194728017119375;0.16969696969697;0.203363774673103;28;30;0
dibstudent16--2016-10-06--22-03.log-29;0.0428571428571429;3;1;1.891;1554.215;0.062;0;0;0;0.0;2;0;1;0;1;1;1;2;0;1;0.01930234877414;0.181818181818182;0.331420357636654;30;30;1
dibstudent16--2016-10-06--22-03.log-3;0.0142857142857143;2;6;711.381;78.563;0.016;0;0;0;0.0;1;0;3;0;1;1;1;1;0;3;0.0509145526520118;0.0242424242424242;0.341865390254818;4;18;1
dibstudent16--2016-10-06--22-03.log-30;0.0428571428571429;2;1;190.765;1556.122;0.016;0;0;0;0.0;2;0;1;0;1;1;1;2;0;1;0.0199213172231997;0.187878787878788;0.331420357636654;31;30;1
dibstudent16--2016-10-06--22-03.log-33;0.0428571428571429;0;0;427.672;2255.284;0.063;0.0285714285714286;0;1;0.0;2;0;1;2;0;1;0.333333333333333;2;2;1;0.0150757066515791;0.206060606060606;0.373139739453478;34;10;1
dibstudent16--2016-10-06--22-03.log-34;0.0857142857142857;1;17;21.25;2683.299;0.343;0.0285714285714286;0.00138306513578187;1;0.0;2;2;1;3;0;0;0;3;2;1;0.0130436451547144;0.212121212121212;0.181902683017153;35;126;1
dibstudent16--2016-10-06--22-03.log-35;0.0857142857142857;0;17;37.234;2704.706;0.157;0.0285714285714286;0;0;0.0;3;2;1;0;1;1;1;3;2;1;0.0133101342622821;0.218181818181818;0.181902683017153;36;126;1
dibstudent16--2016-10-06--22-03.log-37;0.0857142857142857;17;1;11.328;2774.659;0.063;0.0142857142857143;0;1;0.0;3;0;1;1;0;1;0.125274725274725;3;1;1;0.0136953766210551;0.23030303030303;0.0937097056036753;38;57;1
dibstudent16--2016-10-06--22-03.log-38;0.0857142857142857;16;1;12.407;2786.002;0.015;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0139985542006072;0.236363636363636;0.0937097056036753;39;57;1
dibstudent16--2016-10-06--22-03.log-39;0.0857142857142857;15;1;2.312;2798.487;0.078;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0142934378469509;0.242424242424242;0.0937097056036753;40;57;1
dibstudent16--2016-10-06--22-03.log-4;0.0285714285714286;1;6;7.844;790.194;0.25;0;0.000198815940620306;1;0.0;1;0;3;1;0;0;0;2;0;3;0.00632756006752772;0.0303030303030303;0.341865390254818;5;18;1
